region,scenario,year,temperature_c,precip_mm_day,temp_baseline_c,precip_baseline_mm_day,temp_anomaly_c,precip_change_pct,co2_ppm
Arctic,historical,1980,-11.993076110797293,0.9988930686924846,-10.95974502350897,1.0580418082151344,-1.0333310872883228,-5.590397190677261,350.78125
Arctic,historical,1981,-12.373160465346874,0.9656493114950911,-10.95974502350897,1.0580418082151344,-1.4134154418379037,-8.732405090485502,352.140625
Arctic,historical,1982,-11.652819028011676,1.0317464113377777,-10.95974502350897,1.0580418082151344,-0.6930740045027051,-2.48528901912825,353.5
Arctic,historical,1983,-12.547310012075528,1.0312758688227386,-10.95974502350897,1.0580418082151344,-1.587564988566557,-2.5297619795902633,354.859375
Arctic,historical,1984,-12.48719840288207,0.9930351879387646,-10.95974502350897,1.0580418082151344,-1.5274533793730996,-6.144050241836178,356.21875
Arctic,historical,1985,-11.977605448079894,1.0544488572643473,-10.95974502350897,1.0580418082151344,-1.017860424570923,-0.33958496941138644,357.578125
Arctic,historical,1986,-11.901300242619074,0.9944532138198459,-10.95974502350897,1.0580418082151344,-0.9415552191101035,-6.010026626694405,358.9375
Arctic,historical,1987,-12.56470522729622,0.9474562253382903,-10.95974502350897,1.0580418082151344,-1.6049602037872486,-10.451910502799185,360.296875
Arctic,historical,1988,-11.70370644947291,1.0081168504407179,-10.95974502350897,1.0580418082151344,-0.7439614259639402,-4.718618620434057,361.65625
Arctic,historical,1989,-11.37052263173647,1.050397335266024,-10.95974502350897,1.0580418082151344,-0.41077760822749987,-0.7225114253288499,363.015625
Arctic,historical,1990,-11.41469797483729,0.9819324898251642,-10.95974502350897,1.0580418082151344,-0.4549529513283197,-7.1934131334907185,364.375
Arctic,historical,1991,-11.878852161813,1.000215148602353,-10.95974502350897,1.0580418082151344,-0.9191071383040299,-5.465441834508622,365.734375
Arctic,historical,1992,-12.042163793126715,1.0279724095695029,-10.95974502350897,1.0580418082151344,-1.0824187696177443,-2.841985865979828,367.09375
Arctic,historical,1993,-12.16795781047969,1.0154503707733067,-10.95974502350897,1.0580418082151344,-1.2082127869707193,-4.025496640220428,368.453125
Arctic,historical,1994,-11.175250615015099,1.0901055878869594,-10.95974502350897,1.0580418082151344,-0.2155055915061279,3.0304832401580715,369.8125
Arctic,historical,1995,-11.973361702904029,1.0444486180123795,-10.95974502350897,1.0580418082151344,-1.0136166793950583,-1.2847498177492536,371.171875
Arctic,historical,1996,-11.475760653661542,1.0290666024041615,-10.95974502350897,1.0580418082151344,-0.5160156301525713,-2.738569079784539,372.53125
Arctic,historical,1997,-11.241391639487553,1.0464265412456963,-10.95974502350897,1.0580418082151344,-0.2816466159785822,-1.097807939086305,373.890625
Arctic,historical,1998,-11.061726724666634,0.9830061046084722,-10.95974502350897,1.0580418082151344,-0.1019817011576638,-7.0919412658412675,375.25
Arctic,historical,1999,-10.983689176261125,1.1006943342975246,-10.95974502350897,1.0580418082151344,-0.023944152752154224,4.031270385651677,376.609375
